341973;Clete Boyer;0,9665;0,9439
341974;Ken Boyer;0,9571;0,9615
341986;Brad Brach;0,9053;1,0
341989;Doc Bracken;1,0;1,0
341999;Chad Bradford;0,9589;1,0
342002;Cody Bradford;0,9412;1,0
342008;Archie Bradley;0,9678;1,0
342014;Frank Bradley;0,9375;0,5
342064;Ralph Branca;0,9526;1,0
342073;Slim Branham;0,936;1,0
342078;Jeff Branson;0,9671;1,0
342079;Kitty Bransfield;0,9828;0,9667
342081;Jeff Brantley;0,9771;1,0
342086;Russell Branyan;0,9776;0,9231
342088;Matt Brash;0,9688;1,0
342090;Ryan Brasier;0,9388;1,0
342101;Bill Bray;0,8966;1,0
342103;James Bray;0,9494;1,0
342109;Al Brazle;0,9618;1,0
342114;Sid Bream;0,9917;0,9956
342117;Harry Brecheen;0,9827;1,0
342124;Alex Bregman;0,9685;0,9667
342128;Eugene Bremer;0,9734;1,0
342131;Bob Brenly;0,9815;1,0
342145;Craig Breslow;0,9512;0,5
342146;Roger Bresnahan;0,9645;0,9722
342150;George Brett;0,9701;0,9209
342152;Ken Brett;0,9658;1,0
342154;Marv Breuer;0,94;0,5
342157;Chet Brewer;0,9728;1,0
342179;Marshall Bridges;0,9583;1,0
342181;Tommy Bridges;0,9623;1,0
342198;Reid Brignac;0,975;1,0
342200;Nelson Briles;0,9657;1,0
342206;Ed Brinkman;0,97;1,0
342232;John Britton;0,9385;0,7805
342233;Zack Britton;0,9543;1,0
342242;Greg Brock;0,9939;1,0
342255;Troy Brohawn;1,0;1,0
342265;Ameal Brooks;0,9396;1,0
342273;Jess Brooks;0,8867;0,8333
342277;Tom Brookens;0,9504;0,9583
342281;Scott Brosius;0,9623;0,96
342285;Mike Brosseau;0,9688;0,9412
342297;Jim Brower;0,9664;1,0
342320;Bobby Brown;0,9473;0,9412
342362;George Brown;0,9524;0,8333
342366;Hunter Brown;0,9747;1,0
342367;Ike Brown;0,9686;1,0
342374;Jerry Browne;0,9728;1,0
342379;Jimmy Brown;0,9586;0,88
342380;Jim Brown;0,9739;0,9737
342389;Kevin Brown;0,951;1,0
342394;Larry Brown;0,9826;0,9766
342409;Mordecai Brown;0,9658;0,9375
342418;Phillip Brown;1,0;1,0
342422;Ray Brown;0,9593;0,95
342437;Tom Browning;0,9417;1,0
342443;Jonathan Broxton;0,9836;1,0
342450;Clarence Bruce;0,9471;0,9286
342462;Justin Bruihl;0,9333;1,0
342463;Vidal Brujan;0,9623;1,0
342473;Brian Bruney;0,9189;1,0
342481;Eric Bruntlett;0,9631;1,0
342485;Warren Brusstar;0,9746;1,0
342495;Kris Bryant;0,9608;0,93
342514;Jerry Buchek;0,9619;1,0
342516;Clay Buchholz;0,9452;1,0
342524;John Buck;0,9919;1,0
342530;Bill Buckner;0,9912;0,9913
342541;Steve Buechele;0,9712;1,0
342542;Walker Buehler;0,9722;1,0
342543;Mark Buehrle;0,9729;1,0
342553;James Buford;0,9019;0,8
342554;Bob Buhl;0,9739;0,6667
342573;Madison Bumgarner;0,9489;0,9474
342574;Aaron Bummer;0,9036;1,0
342575;Nate Bump;0,9394;1,0
342576;Earl Bumpus;0,9384;1,0
