Jugador_Base;Ranking;Jugador_Comparable;Correlacion_Pearson
Al Cowens;3;Andre Ethier;0,8603
Al Cowens;4;Kelly Downs;0,8575
Al Cowens;5;Jarrod Saltalamacchia;0,8469
Al Dark;1;Chris Carter;0,9805
Al Dark;2;Ralph Young;0,9785
Al Dark;3;Dave Campbell;0,9686
Al Dark;4;Mike Harkey;0,9643
Al Dark;5;Billy Klaus;0,9633
Al Demaree;1;Mark Salas;0,9299
Al Demaree;2;Kent Tekulve;0,9219
Al Demaree;3;John Wetteland;0,9147
Al Demaree;4;Bill Gullickson;0,9057
Al Demaree;5;Mike LaCoss;0,9031
Al Downing;1;Kendall Graveman;0,9583
Al Downing;2;Bud Byerly;0,9037
Al Downing;3;Walt Williams;0,9033
Al Downing;4;Pete Mikkelsen;0,9009
Al Downing;5;Dallas Green;0,8895
Al Evans;1;Clyde Manion;0,8698
Al Evans;2;Michael Cuddyer;0,8589
Al Evans;3;Johnny Davis;0,8572
Al Evans;4;Kyle Davies;0,8559
Al Evans;5;Jo-Jo White;0,8397
Al Ferrara;1;Dave Tobik;0,9916
Al Ferrara;2;A. J. Minter;0,9916
Al Ferrara;3;Tyler Clippard;0,9916
Al Ferrara;4;Pete Schourek;0,9916
Al Ferrara;5;Trevor Hoffman;0,9916
Al Fitzmorris;1;Johnny Humphries;0,9136
Al Fitzmorris;2;Jaime Garcia;0,9101
Al Fitzmorris;3;Tony Oliva;0,894
Al Fitzmorris;4;Oral Hildebrand;0,8916
Al Fitzmorris;5;Del Wilber;0,8858
Al Holland;1;Bob Chipman;0,9666
Al Holland;2;Spec Shea;0,9577
Al Holland;3;Roger Freed;0,9561
Al Holland;4;Chet Nichols;0,9534
Al Holland;5;Satchel Paige;0,9527
Al Hollingsworth;1;Justin Masterson;0,9227
Al Hollingsworth;2;Andy Hawkins;0,9216
Al Hollingsworth;3;Ketel Marte;0,9014
Al Hollingsworth;4;Ed Delahanty;0,895
Al Hollingsworth;5;Glenn Myatt;0,8842
Al Hrabosky;1;Nick Strincevich;0,956
Al Hrabosky;2;Barry Larkin;0,9215
Al Hrabosky;3;Atlee Hammaker;0,9058
Al Hrabosky;4;Ted Savage;0,9051
Al Hrabosky;5;Augie Ojeda;0,9038
Al Jackson;1;Julio Teheran;0,9244
Al Jackson;2;Luis Lopez;0,922
Al Jackson;3;Eddie Solomon;0,9154
Al Jackson;4;Denny Neagle;0,8955
Al Jackson;5;Tom Bolton;0,8933
Al Kaline;1;Joey Amalfitano;0,9246
Al Kaline;2;Bruce Campbell;0,9173
Al Kaline;3;Chris Johnson;0,9114
Al Kaline;4;Mike Epstein;0,8929
Al Kaline;5;John Romano;0,8907
Al Lakeman;1;Carl Pavano;0,9905
Al Lakeman;2;Mike Moore;0,9786
Al Lakeman;3;Tim McCarver;0,9774
Al Lakeman;4;Matt Stairs;0,9628
Al Lakeman;5;Scott Barlow;0,9566
Al Leiter;1;Mike Holtz;0,9983
Al Leiter;2;Bill Stafford;0,9305
Al Leiter;3;John Dopson;0,9173
Al Leiter;4;Bobby Castillo;0,9169
Al Leiter;5;Bill Stoneman;0,8929
Al Levine;1;Jimmie Schaffer;0,9846
Al Levine;2;Derek Law;0,9374
Al Levine;3;Xavier Cedeno;0,9155
Al Levine;4;Eric Rasmussen;0,8975
Al Levine;5;Paul Richards;0,8941
Al Lopez;1;Matt Olson;0,9344
Al Lopez;2;Ross Youngs;0,8722
Al Lopez;3;Jack Farrell;0,8593
Al Lopez;4;Toby Hall;0,8586
Al Lopez;5;Daniel Descalso;0,8515
Al Mamaux;1;Hal Wagner;0,9203
Al Mamaux;2;Bill Holland;0,9134
Al Mamaux;3;Travis Ishikawa;0,9025
Al Mamaux;4;Will Smith;0,9004
Al Mamaux;5;Mickey O'Neil;0,8969
Al Martin;1;Bobby Veach;0,9821
Al Martin;2;Rob Brantly;0,9669
Al Martin;3;Dan Driessen;0,9633
Al Martin;4;Frank Scheibeck;0,962
Al Martin;5;Willie Keeler;0,9608
Al Maul;1;Duane Josephson;0,8662
Al Maul;2;Doc Gessler;0,8648
Al Maul;3;Amos Otis;0,8296
Al Maul;4;Pete Burnside;0,8279
Al Maul;5;Kevin Gross;0,8212
Al McBean;1;Adam Melhuse;0,9806
Al McBean;2;Jeff McNeil;0,9785
Al McBean;3;Jim Lindeman;0,9409
Al McBean;4;Lip Pike;0,923
Al McBean;5;Tommy Milone;0,9179
Al Milnar;1;Nate Jones;0,9871
Al Milnar;2;C. J. Nitkowski;0,9823
Al Milnar;3;Gary Nolan;0,9818
Al Milnar;4;Paul Abbott;0,9705
Al Milnar;5;Harry Rice;0,9664
Al Myers;1;Ned Hanlon;0,952
Al Myers;2;Gus Weyhing;0,9381
Al Myers;3;Randy Jackson;0,9376
Al Myers;4;Starlin Castro;0,9332
Al Myers;5;Bill Campbell;0,9302
Al Newman;1;Gary Carter;0,9548
Al Newman;2;Didi Gregorius;0,9414
Al Newman;3;Tim Wakefield;0,9411
Al Newman;4;Lou Piniella;0,9325
Al Newman;5;John Olerud;0,9233
Al Nixon;1;Duane Ward;0,9573
Al Nixon;2;Frankie Pytlak;0,9518
Al Nixon;3;Cliff Johnson;0,9422
Al Nixon;4;Jimmy Binder;0,9049
Al Nixon;5;Tom Kinslow;0,9034
Al Oliver;1;Johnny Evers;0,9407
Al Oliver;2;Ellie Rodriguez;0,8964
Al Oliver;3;Gary Thomasson;0,8702
Al Oliver;4;Bob Dernier;0,8695
Al Oliver;5;Larry Cheney;0,8668
Al Orth;1;Jim Lyttle;0,9543
Al Orth;2;Derek Lilliquist;0,9479
Al Orth;3;John Stephenson;0,925
Al Orth;4;Dwayne Henry;0,9201
Al Orth;5;Paul Dean;0,9122
Al Rosen;1;Rick Helling;0,8787
Al Rosen;2;Fred Kendall;0,8603
Al Rosen;3;Andy Ashby;0,8477
Al Rosen;4;Sal Maglie;0,8477
Al Rosen;5;Lonnie Smith;0,8427
Al Simmons;1;T. J. Mathews;0,9635
Al Simmons;2;Chris Heisey;0,9593
Al Simmons;3;Tex Clevenger;0,9452
Al Simmons;4;George Stovall;0,9329
Al Simmons;5;Greg McMichael;0,9282
Al Smith;1;Art Howe;0,9456
Al Smith;2;George Stovall;0,9188
Al Smith;3;Miles Mikolas;0,9172
Al Smith;4;Josh Bell;0,9119
Al Smith;5;Sid Farrar;0,9109
Al Spalding;1;Jerry Moses;0,9782
Al Spalding;2;Ed Glynn;0,9744
Al Spalding;3;Jesus Colome;0,9726
Al Spalding;4;Paul Sewald;0,9707
Al Spalding;5;Hank Greenberg;0,9701
Al Spangler;1;Bill Lohrman;0,911
Al Spangler;2;Mark Petkovsek;0,9009
Al Spangler;3;Bill Gatewood;0,8868
Al Spangler;4;Brad Radke;0,8788
Al Spangler;5;Willie Powell;0,8716
Al Spohrer;1;Scott McGregor;0,9107
Al Spohrer;2;Johnny Humphries;0,9012
Al Spohrer;3;Eric Owens;0,8961
Al Spohrer;4;Rafael Figarola;0,8866
Al Spohrer;5;Juan Cruz;0,8821
Al Todd;1;Ownie Carroll;0,9984
Al Todd;2;Bullet Joe Bush;0,9932
Al Todd;3;Socks Seibold;0,9922
Al Todd;4;Bones Ely;0,9908
Al Todd;5;Jim Keenan;0,9879
Al Weis;1;Fatty Briody;0,9822
Al Weis;2;Archie Ware;0,9814
Al Weis;3;Roy Mahaffey;0,9786
Al Weis;4;Ryan Weber;0,9783
Al Weis;5;Will Cunnane;0,9783
Al Worthington;1;Bud Barbee;0,943
Al Worthington;2;Greg McMichael;0,9157
Al Worthington;3;Mike Menosky;0,9022
Al Worthington;4;Blake Treinen;0,9007
Al Worthington;5;Donnie Hill;0,9007
Al Zarilla;1;Jesse Crain;0,9228
Al Zarilla;2;Paul Dean;0,9222
Al Zarilla;3;Rich DeLucia;0,8911
Al Zarilla;4;Corey Hart;0,8845
Al Zarilla;5;Brad Hand;0,8586
Alan Ashby;1;Wayne Krenchicki;0,964
Alan Ashby;2;Rudy Kemmler;0,9198
Alan Ashby;3;Eddie Moore;0,8865
Alan Ashby;4;Nate Schierholtz;0,866
Alan Ashby;5;Eric Haase;0,8458
Alan Bannister;1;Butch Hobson;0,944
Alan Bannister;2;Kyle Farmer;0,9093
Alan Bannister;3;Steve Nicosia;0,8955
Alan Bannister;4;Mike Andrews;0,8937
Alan Bannister;5;Jim Shaw;0,877
Alan Benes;1;Todd Worrell;1,0
