Jugador_Base;Ranking;Jugador_Comparable;Correlacion_Pearson
Amos Otis;1;Brandon Crawford;0,7967
Amos Otis;2;Kevin Mitchell;0,7824
Amos Otis;3;Mariano Duncan;0,7712
Amos Otis;4;John Olerud;0,7608
Amos Otis;5;Johnny Grubb;0,7534
Amos Strunk;1;Rickie Weeks;0,8967
Amos Strunk;2;Bernard Gilkey;0,8966
Amos Strunk;3;Cesar Hernandez;0,87
Amos Strunk;4;Jerry Morales;0,862
Amos Strunk;5;Cody Ross;0,8532
Andre Dawson;1;Mike Lansing;0,9207
Andre Dawson;2;Frank Taveras;0,9001
Andre Dawson;3;Solly Hofman;0,8664
Andre Dawson;4;Andrelton Simmons;0,8481
Andre Dawson;5;Frank Robinson;0,8348
Andre Ethier;1;Trevor Story;0,8843
Andre Ethier;2;Tony Kubek;0,8783
Andre Ethier;3;William Robinson;0,8699
Andre Ethier;4;Norm Siebern;0,8518
Andre Ethier;5;Josh Bell;0,8487
Andre Thornton;1;Don Blasingame;0,922
Andre Thornton;2;Mike Pagliarulo;0,8943
Andre Thornton;3;Sammy White;0,8934
Andre Thornton;4;Bobby Abreu;0,8479
Andre Thornton;5;Jim Ray Hart;0,8271
Andrelton Simmons;1;Alvin Davis;0,8841
Andrelton Simmons;2;Tim Anderson;0,8835
Andrelton Simmons;3;Jermaine Dye;0,8806
Andrelton Simmons;4;Roy Johnson;0,8799
Andrelton Simmons;5;Patsy Donovan;0,8777
Andres Galarraga;1;Rick Cerone;0,8428
Andres Galarraga;2;Dave Magadan;0,7628
Andres Galarraga;3;Ed Kranepool;0,7497
Andres Galarraga;4;Darryl Hamilton;0,7494
Andres Galarraga;5;Jurickson Profar;0,7369
Andrew Benintendi;1;Pinky Whitney;0,907
Andrew Benintendi;2;Tom Tresh;0,893
Andrew Benintendi;3;Eric Davis;0,8814
Andrew Benintendi;4;Aaron Boone;0,88
Andrew Benintendi;5;Richie Zisk;0,8658
Andrew McCutchen;1;Kevin Youkilis;0,9015
