Charlie Bastian;2;Tom Burns;1,0
Charlie Bastian;3;Ed Williamson;1,0
Charlie Bastian;4;Arthur Irwin;1,0
Charlie Bastian;5;Jack Rowe;1,0
Kim Batiste;1;Bill Dahlen;0,6667
Kim Batiste;2;Tommy Corcoran;0,6667
Kim Batiste;3;Omar Vizquel;0,6667
Kim Batiste;4;George Davis;0,6667
Kim Batiste;5;Herman Long;0,6667
Tony Batista;1;Edgar Renteria;1,0
Tony Batista;2;Rafael Furcal;1,0
Tony Batista;3;Jose Valentin;1,0
Tony Batista;4;Julio Lugo;1,0
Tony Batista;5;Carlos Guillen;1,0
Ollie Beard;1;Tommy Corcoran;1,0
Ollie Beard;2;Herman Long;1,0
Ollie Beard;3;Germany Smith;1,0
Ollie Beard;4;Ed McKean;1,0
Ollie Beard;5;Bones Ely;1,0
Tim Beckham;1;Eduardo Nunez;1,0
Tim Beckham;2;Josh Wilson;1,0
Tim Beckham;3;Jung Ho Kang;1,0
Tim Beckham;4;Yairo Munoz;1,0
Tim Beckham;5;Rabbit Maranville;0,6667
Mark Belanger;1;Dave Concepcion;1,0
Mark Belanger;2;Larry Bowa;1,0
Mark Belanger;3;Chris Speier;1,0
Mark Belanger;4;Tim Foli;1,0
Mark Belanger;5;Rick Burleson;1,0
Rafael Belliard;1;Omar Vizquel;1,0
Rafael Belliard;2;Barry Larkin;1,0
Rafael Belliard;3;Royce Clayton;1,0
Rafael Belliard;4;Jay Bell;1,0
Rafael Belliard;5;Tony Fernandez;1,0
Jay Bell;1;Omar Vizquel;1,0
Jay Bell;2;Barry Larkin;1,0
Jay Bell;3;Royce Clayton;1,0
Jay Bell;4;Tony Fernandez;1,0
Jay Bell;5;Ozzie Guillen;1,0
Esteban Beltre;1;Andujar Cedeno;1,0
Esteban Beltre;2;Mike Caruso;1,0
Esteban Beltre;3;Jeff Schaefer;1,0
Esteban Beltre;4;Rabbit Maranville;0,6667
Esteban Beltre;5;Bobby Wallace;0,6667
Freddie Benavides;1;Tony Phillips;1,0
Freddie Benavides;2;Shawon Dunston;1,0
Freddie Benavides;3;Walt Weiss;1,0
Freddie Benavides;4;Mariano Duncan;1,0
Freddie Benavides;5;Travis Fryman;1,0
Tun Berger;1;Tommy Corcoran;1,0
Tun Berger;2;Herman Long;1,0
Tun Berger;3;Germany Smith;1,0
Tun Berger;4;Ed McKean;1,0
Tun Berger;5;Bones Ely;1,0
Marty Berghammer;1;Donie Bush;1,0
Marty Berghammer;2;Doc Lavan;1,0
Marty Berghammer;3;Buck Weaver;1,0
Marty Berghammer;4;Heinie Wagner;1,0
Marty Berghammer;5;Larry Kopf;1,0
Dale Berra;1;Rafael Ramirez;1,0
Dale Berra;2;Bill Almon;1,0
Dale Berra;3;Hubie Brooks;1,0
Dale Berra;4;U. L. Washington;1,0
Dale Berra;5;Howard Johnson;1,0
Angel Berroa;1;Edgar Renteria;1,0
Angel Berroa;2;Rafael Furcal;1,0
